ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1921/1/11,1921/1/20,3.5,8,2
1921/1/21,1921/1/31,3.4,8,2
1921/2/1,1921/2/10,2.8,8,2
1921/2/11,1921/2/20,2.5,8,2
1921/2/21,1921/2/28,4.5,8,2
1921/3/1,1921/3/10,4.3,8,2
1921/3/11,1921/3/20,5.8,8,2
1921/3/21,1921/3/31,5.9,8,2
1921/11/1,1921/11/10,8.9,8,2
1921/11/11,1921/11/20,8.7,8,2
1921/11/21,1921/11/30,5.5,8,2
1921/12/1,1921/12/10,5.1,8,2
1921/12/11,1921/12/20,7.0,8,2
1921/12/21,1921/12/31,2.8,8,2
1922/1/1,1922/1/10,2.1,8,2
1922/1/11,1922/1/20,1.1,8,2
1922/1/21,1922/1/31,0.8,8,2
1922/2/1,1922/2/10,4.9,8,2
1922/2/11,1922/2/20,6.7,8,2
1922/2/21,1922/2/28,8.5,8,2
1922/3/1,1922/3/10,4.5,8,2
1922/3/11,1922/3/20,7.6,8,2
1922/3/21,1922/3/31,5.5,8,2
1922/11/1,1922/11/10,13.9,8,2
1922/11/11,1922/11/20,9.7,8,2
1922/11/21,1922/11/30,7.6,8,2
1922/12/1,1922/12/10,4.7,8,2
1922/12/11,1922/12/20,2.8,8,2
1922/12/21,1922/12/31,3.6,8,2
1923/1/1,1923/1/10,0.2,8,2
1923/1/11,1923/1/20,1.4,8,2
1923/1/21,1923/1/31,2.7,8,2
1923/2/1,1923/2/10,1.9,8,2
1923/2/11,1923/2/20,6.5,8,2
1923/2/21,1923/2/28,2.4,8,2
1923/3/1,1923/3/10,4.9,8,2
1923/3/11,1923/3/20,8.5,8,2
1923/3/21,1923/3/31,10.6,8,2
1923/11/1,1923/11/10,13.5,8,2
1923/11/11,1923/11/20,10.2,8,2
1923/11/21,1923/11/30,8.6,8,2
1923/12/1,1923/12/10,7.4,8,2
1923/12/11,1923/12/20,5.6,8,2
1923/12/21,1923/12/31,4.7,8,2
1924/1/1,1924/1/10,3.3,8,2
1924/1/11,1924/1/20,4.1,8,2
1924/1/21,1924/1/31,1.0,8,2
1924/2/1,1924/2/10,4.9,8,2
1924/2/11,1924/2/20,3.6,8,2
1924/2/21,1924/2/29,2.5,8,2
1924/3/1,1924/3/10,3.3,8,2
1924/3/11,1924/3/20,2.6,8,2
1924/3/21,1924/3/31,6.0,8,2
1924/11/1,1924/11/10,10.0,8,2
1924/11/11,1924/11/20,7.4,8,2
1924/11/21,1924/11/30,7.2,8,2
1924/12/1,1924/12/10,5.4,8,2
1924/12/11,1924/12/20,3.5,8,2
1924/12/21,1924/12/31,4.1,8,2
1925/1/1,1925/1/10,3.3,8,2
1925/1/11,1925/1/20,2.1,8,2
1925/1/21,1925/1/31,1.9,8,2
1925/2/1,1925/2/10,2.3,8,2
1925/2/11,1925/2/20,2.9,8,2
1925/2/21,1925/2/28,1.1,8,2
1925/3/1,1925/3/10,3.8,8,2
1925/3/11,1925/3/20,4.5,8,2
1925/3/21,1925/3/31,7.4,8,2
1925/11/1,1925/11/10,11.8,8,2
1925/11/11,1925/11/20,12.1,8,2
1925/11/21,1925/11/30,8.7,8,2
1925/12/1,1925/12/10,6.8,8,2
1925/12/11,1925/12/20,4.9,8,2
1925/12/21,1925/12/31,5.1,8,2
1926/1/1,1926/1/10,1.8,8,2
1926/1/11,1926/1/20,4.0,8,2
1926/1/21,1926/1/31,0.9,8,2
1926/2/1,1926/2/10,4.3,8,2
1926/2/11,1926/2/20,3.3,8,2
1926/2/21,1926/2/28,4.0,8,2
1926/3/1,1926/3/10,5.5,8,2
1926/3/11,1926/3/20,5.5,8,2
1926/3/21,1926/3/31,5.2,8,2
1926/11/1,1926/11/10,9.7,8,2
1926/11/11,1926/11/20,9.5,8,2
1926/11/21,1926/11/30,7.2,8,2
1926/12/1,1926/12/10,6.1,8,2
1926/12/11,1926/12/20,4.2,8,2
1926/12/21,1926/12/31,1.0,8,2
1927/1/1,1927/1/10,5.3,8,2
1927/1/11,1927/1/20,3.8,8,2
1927/1/21,1927/1/31,-0.6,8,2
1927/2/1,1927/2/10,0.7,8,2
1927/2/11,1927/2/20,3.2,8,2
1927/2/21,1927/2/28,2.2,8,2
1927/3/1,1927/3/10,3.7,8,2
1927/3/11,1927/3/20,5.5,8,2
1927/3/21,1927/3/31,8.9,8,2
1927/11/1,1927/11/10,11.9,8,2
1927/11/11,1927/11/20,10.8,8,2
1927/11/21,1927/11/30,10.2,8,2
1927/12/1,1927/12/10,8.0,8,2
1927/12/11,1927/12/20,5.8,8,2
1927/12/21,1927/12/31,3.8,8,2
1928/1/1,1928/1/10,2.2,8,2
1928/1/11,1928/1/20,3.8,8,2
1928/1/21,1928/1/31,4.6,8,2
1928/2/1,1928/2/10,2.2,8,2
1928/2/11,1928/2/20,2.7,8,2
1928/2/21,1928/2/29,4.0,8,2
1928/3/1,1928/3/10,5.5,8,2
1928/3/11,1928/3/20,5.8,8,2
1928/3/21,1928/3/31,7.8,8,2
1928/11/1,1928/11/10,13.3,8,2
1928/11/11,1928/11/20,11.1,8,2
1928/11/21,1928/11/30,8.8,8,2
1928/12/1,1928/12/10,6.9,8,2
1928/12/11,1928/12/20,4.5,8,2
1928/12/21,1928/12/31,3.2,8,2
1929/1/1,1929/1/10,0.8,8,2
1929/1/11,1929/1/20,3.4,8,2
1929/1/21,1929/1/31,1.0,8,2
1929/2/1,1929/2/10,1.6,8,2
1929/2/11,1929/2/20,1.4,8,2
1929/2/21,1929/2/28,4.0,8,2
1929/3/1,1929/3/10,3.2,8,2
1929/3/11,1929/3/20,4.0,8,2
1929/3/21,1929/3/31,10.1,8,2
1929/11/1,1929/11/10,12.5,8,2
1929/11/11,1929/11/20,10.0,8,2
1929/11/21,1929/11/30,8.3,8,2
1929/12/1,1929/12/10,7.6,8,2
1929/12/11,1929/12/20,12.6,8,2
1929/12/21,1929/12/31,5.4,8,2
1930/1/1,1930/1/10,2.0,8,2
1930/1/11,1930/1/20,2.8,8,2
1930/1/21,1930/1/31,3.4,8,2
1930/2/1,1930/2/10,3.9,8,2
1930/2/11,1930/2/20,2.9,8,2
1930/2/21,1930/2/28,8.5,8,2
1930/3/1,1930/3/10,6.5,8,2
1930/3/11,1930/3/20,7.4,8,2
1930/3/21,1930/3/31,10.9,8,2
1930/11/1,1930/11/10,11.5,8,2
1930/11/11,1930/11/20,7.9,8,2
1930/11/21,1930/11/30,7.5,8,2
1930/12/1,1930/12/10,6.3,8,2
1930/12/11,1930/12/20,5.8,8,2
1930/12/21,1930/12/31,4.0,8,2
1931/1/1,1931/1/10,5.3,8,2
1931/1/11,1931/1/20,1.5,8,2
1931/1/21,1931/1/31,3.3,8,2
1931/2/1,1931/2/10,4.6,8,2
1931/2/11,1931/2/20,2.5,8,2
1931/2/21,1931/2/28,3.1,8,2
1931/3/1,1931/3/10,4.7,8,2
1931/3/11,1931/3/20,7.0,8,2
1931/3/21,1931/3/31,8.4,8,2
1931/11/1,1931/11/10,12.9,8,2
1931/11/11,1931/11/20,12.5,8,2
1931/11/21,1931/11/30,9.0,8,2
1931/12/1,1931/12/10,7.3,8,2
1931/12/11,1931/12/20,4.6,8,2
1931/12/21,1931/12/31,5.3,8,2
1932/1/1,1932/1/10,4.3,8,2
1932/1/11,1932/1/20,3.8,8,2
1932/1/21,1932/1/31,5.5,8,2
1932/2/1,1932/2/10,3.8,8,2
1932/2/11,1932/2/20,3.5,8,2
1932/2/21,1932/2/29,1.7,8,2
1932/3/1,1932/3/10,5.3,8,2
1932/3/11,1932/3/20,5.7,8,2
1932/3/21,1932/3/31,6.3,8,2
1932/11/1,1932/11/10,12.2,8,2
1932/11/11,1932/11/20,9.2,8,2
1932/11/21,1932/11/30,9.0,8,2
1932/12/1,1932/12/10,7.3,8,2
1932/12/11,1932/12/20,4.7,8,2
1932/12/21,1932/12/31,5.3,8,2
1933/1/1,1933/1/10,4.0,8,2
1933/1/11,1933/1/20,3.3,8,2
1933/1/21,1933/1/31,1.2,8,2
1933/2/1,1933/2/10,2.6,8,2
1933/2/11,1933/2/20,2.6,8,2
1933/2/21,1933/2/28,3.0,8,2
1933/3/1,1933/3/10,2.7,8,2
1933/3/11,1933/3/20,5.0,8,2
1933/3/21,1933/3/31,7.6,8,2
1933/11/1,1933/11/10,11.4,8,2
1933/11/11,1933/11/20,11.3,8,2
1933/11/21,1933/11/30,9.3,8,2
1933/12/1,1933/12/10,7.8,8,2
1933/12/11,1933/12/20,4.6,8,2
1933/12/21,1933/12/31,4.3,8,2
1934/1/1,1934/1/10,1.6,8,2
1934/1/11,1934/1/20,1.0,8,2
1934/1/21,1934/1/31,0.6,8,2
1934/2/1,1934/2/10,2.9,8,2
1934/2/11,1934/2/20,2.3,8,2
1934/2/21,1934/2/28,2.2,8,2
1934/3/1,1934/3/10,1.9,8,2
1934/3/11,1934/3/20,7.0,8,2
1934/3/21,1934/3/31,7.5,8,2
1934/11/1,1934/11/10,11.1,8,2
1934/11/11,1934/11/20,8.7,8,2
1934/11/21,1934/11/30,7.8,8,2
1934/12/1,1934/12/10,5.5,8,2
1934/12/11,1934/12/20,6.2,8,2
1934/12/21,1934/12/31,5.8,8,2
1935/1/1,1935/1/10,4.2,8,2
1935/1/11,1935/1/20,3.9,8,2
1935/1/21,1935/1/31,1.7,8,2
1935/2/1,1935/2/10,2.8,8,2
1935/2/11,1935/2/20,4.2,8,2
1935/2/21,1935/2/28,6.7,8,2
1935/3/1,1935/3/10,6.0,8,2
1935/3/11,1935/3/20,8.0,8,2
1935/3/21,1935/3/31,6.6,8,2
1935/11/1,1935/11/10,12.3,8,2
1935/11/11,1935/11/20,9.6,8,2
1935/11/21,1935/11/30,10.4,8,2
1935/12/1,1935/12/10,7.9,8,2
1935/12/11,1935/12/20,2.7,8,2
1935/12/21,1935/12/31,4.8,8,2
1936/1/1,1936/1/10,2.1,8,2
1936/1/11,1936/1/20,-0.1,8,2
1936/1/21,1936/1/31,0.6,8,2
1936/2/1,1936/2/10,0.3,8,2
1936/2/11,1936/2/20,2.5,8,2
1936/2/21,1936/2/29,1.6,8,2
1936/3/1,1936/3/10,0.4,8,2
1936/3/11,1936/3/20,5.8,8,2
1936/3/21,1936/3/31,7.0,8,2
1936/11/1,1936/11/10,11.5,8,2
1936/11/11,1936/11/20,10.2,8,2
1936/11/21,1936/11/30,9.0,8,2
1936/12/1,1936/12/10,6.0,8,2
1936/12/11,1936/12/20,10.3,8,2
1936/12/21,1936/12/31,4.7,8,2
1937/1/1,1937/1/10,5.5,8,2
1937/1/11,1937/1/20,3.4,8,2
1937/1/21,1937/1/31,3.1,8,2
1937/2/1,1937/2/10,5.6,8,2
1937/2/11,1937/2/20,5.1,8,2
1937/2/21,1937/2/28,7.9,8,2
1937/3/1,1937/3/10,8.4,8,2
1937/3/11,1937/3/20,6.2,8,2
1937/3/21,1937/3/31,7.3,8,2
1937/11/1,1937/11/10,15.4,8,2
1937/11/11,1937/11/20,10.6,8,2
1937/11/21,1937/11/30,7.6,8,2
1937/12/1,1937/12/10,4.3,8,2
1937/12/11,1937/12/20,5.7,8,2
1937/12/21,1937/12/31,3.4,8,2
1938/1/1,1938/1/10,0.8,8,2
1938/1/11,1938/1/20,3.3,8,2
1938/1/21,1938/1/31,2.6,8,2
1938/2/1,1938/2/10,1.3,8,2
1938/2/11,1938/2/20,3.5,8,2
1938/2/21,1938/2/28,2.4,8,2
1938/3/1,1938/3/10,9.2,8,2
1938/3/11,1938/3/20,6.2,8,2
1938/3/21,1938/3/31,11.5,8,2
1938/11/1,1938/11/10,12.1,8,2
1938/11/11,1938/11/20,7.7,8,2
1938/11/21,1938/11/30,7.4,8,2
1938/12/1,1938/12/10,5.7,8,2
1938/12/11,1938/12/20,6.5,8,2
1938/12/21,1938/12/31,3.3,8,2
1939/1/1,1939/1/10,1.4,8,2
1939/1/11,1939/1/20,2.0,8,2
1939/1/21,1939/1/31,2.6,8,2
1939/2/1,1939/2/10,1.4,8,2
1939/2/11,1939/2/20,4.6,8,2
1939/2/21,1939/2/28,4.4,8,2
1939/3/1,1939/3/10,7.7,8,2
1939/3/11,1939/3/20,5.2,8,2
1939/3/21,1939/3/31,7.6,8,2
1939/11/1,1939/11/10,15.3,8,2
1939/11/11,1939/11/20,10.9,8,2
1939/11/21,1939/11/30,9.9,8,2
1939/12/1,1939/12/10,5.4,8,2
1939/12/11,1939/12/20,3.9,8,2
1939/12/21,1939/12/31,5.0,8,2
1940/1/1,1940/1/10,4.7,8,2
1940/1/11,1940/1/20,2.6,8,2
1940/1/21,1940/1/31,-0.1,8,2
1940/2/1,1940/2/10,1.0,8,2
1940/2/11,1940/2/20,4.5,8,2
1940/2/21,1940/2/29,2.4,8,2
1940/3/1,1940/3/10,7.3,8,2
1940/3/11,1940/3/20,5.3,8,2
1940/3/21,1940/3/31,6.2,8,2
1940/11/1,1940/11/10,14.5,8,2
1940/11/11,1940/11/20,11.3,8,2
1940/11/21,1940/11/30,11.2,8,2
1940/12/1,1940/12/10,8.6,8,2
1940/12/11,1940/12/20,6.3,8,2
1940/12/21,1940/12/31,5.1,8,2
1941/1/1,1941/1/10,6.7,8,2
1941/1/11,1941/1/20,3.5,8,2
1941/1/21,1941/1/31,3.8,8,2
1941/2/1,1941/2/10,2.1,8,2
1941/2/11,1941/2/20,4.7,8,2
1941/2/21,1941/2/28,5.8,8,2
1941/3/1,1941/3/10,5.2,8,2
1941/3/11,1941/3/20,9.9,8,2
1941/3/21,1941/3/31,7.9,8,2
1941/11/1,1941/11/10,12.8,8,2
1941/11/11,1941/11/20,12.6,8,2
1941/11/21,1941/11/30,11.1,8,2
1941/12/1,1941/12/10,7.6,8,2
1941/12/11,1941/12/20,5.4,8,2
1941/12/21,1941/12/31,6.8,8,2
1942/1/1,1942/1/10,3.5,8,2
1942/1/11,1942/1/20,1.5,8,2
1942/1/21,1942/1/31,4.0,8,2
1942/2/1,1942/2/10,4.2,8,2
1942/2/11,1942/2/20,1.3,8,2
1942/2/21,1942/2/28,4.1,8,2
1942/3/1,1942/3/10,7.5,8,2
1942/3/11,1942/3/20,10.6,8,2
1942/3/21,1942/3/31,11.4,8,2
1942/11/1,1942/11/10,11.0,8,2
1942/11/11,1942/11/20,8.9,8,2
1942/11/21,1942/11/30,7.2,8,2
1942/12/1,1942/12/10,5.1,8,2
1942/12/11,1942/12/20,4.7,8,2
1942/12/21,1942/12/31,3.6,8,2
1943/1/1,1943/1/10,1.4,8,2
1943/1/11,1943/1/20,1.6,8,2
1943/1/21,1943/1/31,2.3,8,2
1943/2/1,1943/2/10,2.7,8,2
1943/2/11,1943/2/20,2.6,8,2
1943/2/21,1943/2/28,2.7,8,2
1943/3/1,1943/3/10,3.4,8,2
1943/3/11,1943/3/20,6.9,8,2
1943/3/21,1943/3/31,7.7,8,2
1943/11/1,1943/11/10,13.0,8,2
1943/11/11,1943/11/20,10.3,8,2
1943/11/21,1943/11/30,7.0,8,2
1943/12/1,1943/12/10,5.4,8,2
1943/12/11,1943/12/20,5.5,8,2
1943/12/21,1943/12/31,5.0,8,2
1944/1/1,1944/1/10,2.1,8,2
1944/1/11,1944/1/20,3.0,8,2
1944/1/21,1944/1/31,3.7,8,2
1944/2/1,1944/2/10,2.3,8,2
1944/2/11,1944/2/20,2.4,8,2
1944/2/21,1944/2/29,2.8,8,2
1944/3/1,1944/3/10,4.7,8,2
1944/3/11,1944/3/20,6.4,8,2
1944/3/21,1944/3/31,6.0,8,2
1944/11/1,1944/11/10,12.8,8,2
1944/11/11,1944/11/20,9.1,8,2
1944/11/21,1944/11/30,10.8,8,2
1944/12/1,1944/12/10,5.7,8,2
1944/12/11,1944/12/20,3.6,8,2
1944/12/21,1944/12/31,3.0,8,2
1945/1/1,1945/1/10,2.0,8,2
1945/1/11,1945/1/20,0.8,8,2
1945/1/21,1945/1/31,0.1,8,2
1945/2/1,1945/2/10,0.1,8,2
1945/2/11,1945/2/20,1.4,8,2
1945/2/21,1945/2/28,2.4,8,2
1945/3/1,1945/3/10,5.6,8,2
1945/3/11,1945/3/20,3.5,8,2
1945/3/21,1945/3/31,10.3,8,2
1945/11/1,1945/11/10,11.0,8,2
1945/11/11,1945/11/20,9.9,8,2
1945/11/21,1945/11/30,9.8,8,2
1945/12/1,1945/12/10,5.8,8,2
1945/12/11,1945/12/20,3.7,8,2
1945/12/21,1945/12/31,3.2,8,2
1946/1/1,1946/1/10,2.6,8,2
1946/1/11,1946/1/20,2.0,8,2
1946/1/21,1946/1/31,5.5,8,2
1946/2/1,1946/2/10,2.3,8,2
1946/2/11,1946/2/20,4.1,8,2
1946/2/21,1946/2/28,4.0,8,2
1946/3/1,1946/3/10,4.6,8,2
1946/3/11,1946/3/20,4.7,8,2
1946/3/21,1946/3/31,8.6,8,2
1946/11/1,1946/11/10,16.1,8,2
1946/11/11,1946/11/20,10.5,8,2
1946/11/21,1946/11/30,12.1,8,2
1946/12/1,1946/12/10,6.1,8,2
1946/12/11,1946/12/20,4.2,8,2
1946/12/21,1946/12/31,4.2,8,2
1947/1/1,1947/1/10,4.1,8,2
1947/1/11,1947/1/20,6.1,8,2
1947/1/21,1947/1/31,1.6,8,2
1947/2/1,1947/2/10,0.7,8,2
1947/2/11,1947/2/20,0.4,8,2
1947/2/21,1947/2/28,3.7,8,2
1947/3/1,1947/3/10,4.7,8,2
1947/3/11,1947/3/20,5.2,8,2
1947/3/21,1947/3/31,6.3,8,2
1947/11/1,1947/11/10,11.2,8,2
1947/11/11,1947/11/20,7.8,8,2
1947/11/21,1947/11/30,7.2,8,2
1947/12/1,1947/12/10,6.8,8,2
1947/12/11,1947/12/20,2.3,8,2
1947/12/21,1947/12/31,2.6,8,2
1948/1/1,1948/1/10,2.3,8,2
1948/1/11,1948/1/20,3.8,8,2
1948/1/21,1948/1/31,4.2,8,2
1948/2/1,1948/2/10,2.1,8,2
1948/2/11,1948/2/20,5.0,8,2
1948/2/21,1948/2/29,5.2,8,2
1948/3/1,1948/3/10,3.5,8,2
1948/3/11,1948/3/20,9.1,8,2
1948/3/21,1948/3/31,6.5,8,2
1948/11/1,1948/11/10,12.9,8,2
1948/11/11,1948/11/20,11.8,8,2
1948/11/21,1948/11/30,9.3,8,2
1948/12/1,1948/12/10,7.4,8,2
1948/12/11,1948/12/20,8.2,8,2
1948/12/21,1948/12/31,10.0,8,2
1949/1/1,1949/1/10,4.4,8,2
1949/1/11,1949/1/20,3.6,8,2
1949/1/21,1949/1/31,5.6,8,2
1949/2/1,1949/2/10,5.8,8,2
1949/2/11,1949/2/20,4.8,8,2
1949/2/21,1949/2/28,7.2,8,2
1949/3/1,1949/3/10,4.3,8,2
1949/3/11,1949/3/20,6.4,8,2
1949/3/21,1949/3/31,5.8,8,2
1949/11/1,1949/11/10,10.9,8,2
1949/11/11,1949/11/20,9.3,8,2
1949/11/21,1949/11/30,11.2,8,2
1949/12/1,1949/12/10,8.1,8,2
1949/12/11,1949/12/20,7.1,8,2
1949/12/21,1949/12/31,4.2,8,2
1950/1/1,1950/1/10,4.6,8,2
1950/1/11,1950/1/20,5.3,8,2
1950/1/21,1950/1/31,5.7,8,2
1950/2/1,1950/2/10,5.8,8,2
1950/2/11,1950/2/20,3.7,8,2
1950/2/21,1950/2/28,3.4,8,2
1950/3/1,1950/3/10,6.9,8,2
1950/3/11,1950/3/20,4.8,8,2
1950/3/21,1950/3/31,8.5,8,2
1950/11/1,1950/11/10,14.2,8,2
1950/11/11,1950/11/20,10.0,8,2
1950/11/21,1950/11/30,9.4,8,2
1950/12/1,1950/12/10,5.8,8,2
1950/12/11,1950/12/20,5.8,8,2
1950/12/21,1950/12/31,3.6,8,2
1951/1/1,1951/1/10,4.0,8,2
1951/1/11,1951/1/20,3.8,8,2
1951/1/21,1951/1/31,2.8,8,2
1951/2/1,1951/2/10,2.9,8,2
1951/2/11,1951/2/20,2.8,8,2
1951/2/21,1951/2/28,9.6,8,2
1951/3/1,1951/3/10,5.6,8,2
1951/3/11,1951/3/20,8.4,8,2
1951/3/21,1951/3/31,8.1,8,2
1951/11/1,1951/11/10,12.5,8,2
1951/11/11,1951/11/20,11.7,8,2
1951/11/21,1951/11/30,8.1,8,2
1951/12/1,1951/12/10,7.0,8,2
1951/12/11,1951/12/20,6.4,8,2
1951/12/21,1951/12/31,8.1,8,2
1952/1/1,1952/1/10,4.9,8,2
1952/1/11,1952/1/20,3.3,8,2
1952/1/21,1952/1/31,4.0,8,2
1952/2/1,1952/2/10,1.9,8,2
1952/2/11,1952/2/20,3.7,8,2
1952/2/21,1952/2/29,4.3,8,2
1952/3/1,1952/3/10,5.7,8,2
1952/3/11,1952/3/20,7.3,8,2
1952/3/21,1952/3/31,7.4,8,2
1952/11/1,1952/11/10,13.7,8,2
1952/11/11,1952/11/20,11.5,8,2
1952/11/21,1952/11/30,12.7,8,2
1952/12/1,1952/12/10,6.4,8,2
1952/12/11,1952/12/20,7.4,8,2
1952/12/21,1952/12/31,4.1,8,2
1953/1/1,1953/1/10,2.7,8,2
1953/1/11,1953/1/20,3.0,8,2
1953/1/21,1953/1/31,3.0,8,2
1953/2/1,1953/2/10,2.4,8,2
1953/2/11,1953/2/20,4.5,8,2
1953/2/21,1953/2/28,5.1,8,2
1953/3/1,1953/3/10,8.4,8,2
1953/3/11,1953/3/20,9.0,8,2
1953/3/21,1953/3/31,8.3,8,2
1953/11/1,1953/11/10,13.8,8,2
1953/11/11,1953/11/20,8.7,8,2
1953/11/21,1953/11/30,8.2,8,2
1953/12/1,1953/12/10,8.0,8,2
1953/12/11,1953/12/20,7.4,8,2
1953/12/21,1953/12/31,6.0,8,2
1954/1/1,1954/1/10,5.8,8,2
1954/1/11,1954/1/20,6.9,8,2
1954/1/21,1954/1/31,2.8,8,2
1954/2/1,1954/2/10,2.9,8,2
1954/2/11,1954/2/20,5.9,8,2
1954/2/21,1954/2/28,7.7,8,2
1954/3/1,1954/3/10,6.3,8,2
1954/3/11,1954/3/20,6.6,8,2
1954/3/21,1954/3/31,9.6,8,2
1954/11/1,1954/11/10,12.4,8,2
1954/11/11,1954/11/20,11.2,8,2
1954/11/21,1954/11/30,12.8,8,2
1954/12/1,1954/12/10,10.0,8,2
1954/12/11,1954/12/20,5.5,8,2
1954/12/21,1954/12/31,4.6,8,2
1955/1/1,1955/1/10,2.5,8,2
1955/1/11,1955/1/20,2.3,8,2
1955/1/21,1955/1/31,4.6,8,2
1955/2/1,1955/2/10,5.6,8,2
1955/2/11,1955/2/20,4.1,8,2
1955/2/21,1955/2/28,7.6,8,2
1955/3/1,1955/3/10,7.1,8,2
1955/3/11,1955/3/20,9.9,8,2
1955/3/21,1955/3/31,9.9,8,2
1955/11/1,1955/11/10,9.9,8,2
1955/11/11,1955/11/20,9.4,8,2
1955/11/21,1955/11/30,9.7,8,2
1955/12/1,1955/12/10,6.8,8,2
1955/12/11,1955/12/20,7.2,8,2
1955/12/21,1955/12/31,6.4,8,2
1956/1/1,1956/1/10,4.1,8,2
1956/1/11,1956/1/20,3.5,8,2
1956/1/21,1956/1/31,3.4,8,2
1956/2/1,1956/2/10,3.6,8,2
1956/2/11,1956/2/20,3.0,8,2
1956/2/21,1956/2/29,3.5,8,2
1956/3/1,1956/3/10,4.6,8,2
1956/3/11,1956/3/20,8.9,8,2
1956/3/21,1956/3/31,11.1,8,2
1956/11/1,1956/11/10,13.5,8,2
1956/11/11,1956/11/20,9.4,8,2
1956/11/21,1956/11/30,7.9,8,2
1956/12/1,1956/12/10,5.6,8,2
1956/12/11,1956/12/20,4.5,8,2
1956/12/21,1956/12/31,3.0,8,2
1957/1/1,1957/1/10,4.5,8,2
1957/1/11,1957/1/20,4.0,8,2
1957/1/21,1957/1/31,4.5,8,2
1957/2/1,1957/2/10,5.4,8,2
1957/2/11,1957/2/20,2.4,8,2
1957/2/21,1957/2/28,2.8,8,2
1957/3/1,1957/3/10,4.9,8,2
1957/3/11,1957/3/20,4.8,8,2
1957/3/21,1957/3/31,5.8,8,2
1957/11/1,1957/11/10,12.9,8,2
1957/11/11,1957/11/20,12.4,8,2
1957/11/21,1957/11/30,11.0,8,2
1957/12/1,1957/12/10,8.1,8,2
1957/12/11,1957/12/20,7.8,8,2
1957/12/21,1957/12/31,5.1,8,2
1958/1/1,1958/1/10,4.1,8,2
1958/1/11,1958/1/20,4.9,8,2
1958/1/21,1958/1/31,3.0,8,2
1958/2/1,1958/2/10,5.4,8,2
1958/2/11,1958/2/20,3.8,8,2
1958/2/21,1958/2/28,6.9,8,2
1958/3/1,1958/3/10,3.7,8,2
1958/3/11,1958/3/20,9.8,8,2
1958/3/21,1958/3/31,9.0,8,2
1958/11/1,1958/11/10,13.1,8,2
1958/11/11,1958/11/20,11.4,8,2
1958/11/21,1958/11/30,7.8,8,2
1958/12/1,1958/12/10,7.5,8,2
1958/12/11,1958/12/20,6.8,8,2
1958/12/21,1958/12/31,7.0,8,2
1959/1/1,1959/1/10,2.9,8,2
1959/1/11,1959/1/20,1.5,8,2
1959/1/21,1959/1/31,5.5,8,2
1959/2/1,1959/2/10,7.1,8,2
1959/2/11,1959/2/20,8.7,8,2
1959/2/21,1959/2/28,6.4,8,2
1959/3/1,1959/3/10,9.4,8,2
1959/3/11,1959/3/20,6.5,8,2
1959/3/21,1959/3/31,10.8,8,2
1959/11/1,1959/11/10,16.2,8,2
1959/11/11,1959/11/20,10.9,8,2
1959/11/21,1959/11/30,9.0,8,2
1959/12/1,1959/12/10,8.8,8,2
1959/12/11,1959/12/20,7.3,8,2
1959/12/21,1959/12/31,4.4,8,2
1960/1/1,1960/1/10,5.7,8,2
1960/1/11,1960/1/20,4.2,8,2
1960/1/21,1960/1/31,2.0,8,2
1960/2/1,1960/2/10,5.8,8,2
1960/2/11,1960/2/20,3.8,8,2
1960/2/21,1960/2/29,6.8,8,2
1960/3/1,1960/3/10,9.1,8,2
1960/3/11,1960/3/20,7.5,8,2
1960/3/21,1960/3/31,10.0,8,2
1960/11/1,1960/11/10,13.5,8,2
1960/11/11,1960/11/20,11.3,8,2
1960/11/21,1960/11/30,10.9,8,2
1960/12/1,1960/12/10,6.9,8,2
1960/12/11,1960/12/20,6.9,8,2
1960/12/21,1960/12/31,3.8,8,2
1961/1/1,1961/1/10,2.9,8,2
1961/1/11,1961/1/20,1.7,8,2
1961/1/21,1961/1/31,3.1,8,2
1961/2/1,1961/2/10,3.4,8,2
1961/2/11,1961/2/20,2.8,8,2
1961/2/21,1961/2/28,3.9,8,2
1961/3/1,1961/3/10,7.1,8,2
1961/3/11,1961/3/20,8.6,8,2
1961/3/21,1961/3/31,8.4,8,2
1961/11/1,1961/11/10,13.5,8,2
1961/11/11,1961/11/20,11.9,8,2
1961/11/21,1961/11/30,11.5,8,2
1961/12/1,1961/12/10,8.1,8,2
1961/12/11,1961/12/20,7.8,8,2
1961/12/21,1961/12/31,4.1,8,2
1962/1/1,1962/1/10,4.3,8,2
1962/1/11,1962/1/20,3.6,8,2
1962/1/21,1962/1/31,1.8,8,2
1962/2/1,1962/2/10,4.5,8,2
1962/2/11,1962/2/20,4.5,8,2
1962/2/21,1962/2/28,5.6,8,2
1962/3/1,1962/3/10,6.1,8,2
1962/3/11,1962/3/20,8.6,8,2
1962/3/21,1962/3/31,7.3,8,2
1962/11/1,1962/11/10,13.3,8,2
1962/11/11,1962/11/20,13.0,8,2
1962/11/21,1962/11/30,6.7,8,2
1962/12/1,1962/12/10,6.6,8,2
1962/12/11,1962/12/20,6.5,8,2
1962/12/21,1962/12/31,6.8,8,2
1963/1/1,1963/1/10,2.2,8,2
1963/1/11,1963/1/20,1.2,8,2
1963/1/21,1963/1/31,-0.1,8,2
