year,date_doy,month,day,source_type,source,tempC,tempF
1845,102,Apr,12,2,SANEAKIRA-KYOKI,6.9,44.42
1846,98,Apr,8,4,TEIEN-EISO,8,46.4
1847,107,Apr,17,1,MADENOKOJI-NIKKI,5.4,41.72
1848,102,Apr,11,2,MIAKE-SHONOSUKE-NIKKI,6.9,44.42
1849,100,Apr,10,1,SANEAKIRA-KYOKI,7.4,45.32
1850,109,Apr,19,1,SUGIURAKE-NIKKI,4.9,40.82
1851,102,Apr,12,2,MADENOKOJI-NIKKI,6.9,44.42
1852,113,Apr,22,1,SADANAKA-KYOKI,3.8,38.84
1853,102,Apr,12,1,MADENOKOJI-NIKKI,6.9,44.42
1854,102,Apr,12,2,TAKOYAKUSHI-MACHINIKKI,6.9,44.42
1855,101,Apr,11,1,SADANAKA-KYOKI,7.2,44.96
1856,111,Apr,20,1,TAKAGI-ZAICHU-NIKKI,4.3,39.74
1857,108,Apr,18,1,HANA-NO-SHITABUSHI,5.2,41.36
1858,104,Apr,14,1,TAKAGI-ZAICHU-NIKKI,6.3,43.34
1859,110,Apr,20,2,NAKAYAMAISAKO-NIKKI,4.6,40.28
1860,113,Apr,22,2,TAKAGI-ZAICHU-NIKKI,3.8,38.84
1861,100,Apr,10,1,TAKAGI-ZAICHU-NIKKI,7.4,45.32
1862,117,Apr,27,2,KOMEI-TENNOKI,2.7,36.86
1863,118,Apr,28,4,YATAKA-SHU,2.5,36.5
1864,105,Apr,14,1,MADENOKOJI-NIKKI,6,42.8
1865,97,Apr,7,1,TAKAGI-ZAICHU-NIKKI,8.3,46.94
1866,102,Apr,12,2,KOMEI-TENNOKI,6.9,44.42
1867,101,Apr,11,2,OZAKITADAMASA-NIKKI,7.2,44.96
1868,104,Apr,13,2,GAKKAI-NICHIROKU,6.3,43.34
1869,105,Apr,15,2,TAKAGI-ZAICHU-NIKKI,6,42.8
1870,99,Apr,9,1,TAKAGI-ZAICHU-NIKKI,7.7,45.86
1871,104,Apr,14,1,TAKAGI-ZAICHU-NIKKI,6.3,43.34
1872,NA,NA,NA,NA,-,NA,NA
1873,104,Apr,14,2,HAYAMIKE-NIKKI,6.3,43.34
1874,107,Apr,17,2,HAYAMIKE-NIKKI,5.4,41.72
1875,103,Apr,13,2,HAYAMIKE-NIKKI,6.6,43.88
1876,111,Apr,20,2,HAYAMIKE-NIKKI,4.3,39.74
1877,104,Apr,14,1,SUGIURAKE-NIKKI,6.3,43.34
1878,101,Apr,11,2,HAYAMIKE-NIKKI,7.2,44.96
1879,102,Apr,12,2,SUGIURAKE-NIKKI,6.9,44.42
1880,110,Apr,19,2,SUGIURAKE-NIKKI,4.6,40.28
1881,112,Apr,22,1,UEKI-SHISEI-NIKKI,4.7,40.46
1882,97,Apr,7,1,SUGIURAKE-NIKKI,5.5,41.9
1883,107,Apr,17,2,SUGIURAKE-NIKKI,5.6,42.08
1884,109,Apr,18,2,SUGIURAKE-NIKKI,5.6,42.08
1885,113,Apr,23,2,NEWS-PAPER(ARASHIYAMA),3.8,38.84
1886,108,Apr,18,2,SUGIURAKE-NIKKI,7,44.6
1887,109,Apr,19,2,NEWS-PAPER(ARASHIYAMA),5.3,41.54
1888,107,Apr,16,0,NEWS-PAPER(ARASHIYAMA),7.5,45.5
1889,109,Apr,19,0,NEWS-PAPER(ARASHIYAMA),6.6,43.88
1890,98,Apr,8,0,UEKI-SHISEI-NIKKI,8.6,47.48
1891,99,Apr,9,0,NEWS-PAPER(ARASHIYAMA),7.8,46.04
1892,115,Apr,24,0,NEWS-PAPER(ARASHIYAMA),4.7,40.46
1893,109,Apr,19,0,NEWS-PAPER(ARASHIYAMA),5,41
1894,98,Apr,8,0,NEWS-PAPER(ARASHIYAMA),7.5,45.5
1895,NA,NA,NA,NA,-,6.8,44.24
1896,106,Apr,15,0,NEWS-PAPER(ARASHIYAMA),4.6,40.28
1897,106,Apr,16,0,NEWS-PAPER(ARASHIYAMA),6.2,43.16
1898,108,Apr,18,0,NEWS-PAPER(ARASHIYAMA),5.4,41.72
1899,99,Apr,9,0,NEWS-PAPER(ARASHIYAMA),7.1,44.78
1900,102,Apr,12,0,NEWS-PAPER(ARASHIYAMA),5.2,41.36
1901,102,Apr,12,0,NEWS-PAPER(ARASHIYAMA),5.2,41.36
1902,98,Apr,8,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA),7.8,46.04
1903,99,Apr,9,0,NEWS-PAPER(ARASHIYAMA),8.5,47.3
1904,108,Apr,17,0,NEWS-PAPER(ARASHIYAMA),6.3,43.34
1905,105,Apr,15,0,NEWS-PAPER(ARASHIYAMA),6.4,43.52
1906,105,Apr,15,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA),6.6,43.88
1907,103,Apr,13,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA),5.4,41.72
1908,102,Apr,11,0,TETUDOUIN AVD(ARASHIYAMA),6.2,43.16
1909,108,Apr,18,0,TETUDOUIN AVD(ARASHIYAMA),5.6,42.08
1910,104,Apr,14,0,TETUDOUIN AVD(ARASHIYAMA),4.7,40.46
1911,98,Apr,8,0,ARASHIYAMA-TETSUDO ADV(ARASHIYAMA),7.7,45.86
1912,105,Apr,14,0,TETUDOUIN AVD(ARASHIYAMA),7,44.6
1913,103,Apr,13,0,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA),4.6,40.28
1914,102,Apr,12,0,KOBE-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA),9,48.2
1915,102,Apr,12,0,NEWS-PAPER(ARASHIYAMA),5.6,42.08
1916,112,Apr,21,0,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA),4.9,40.82
1917,103,Apr,13,0,NEWS-PAPER(ARASHIYAMA),6.1,42.98
1918,104,Apr,14,0,SEKI-HAJIME-NIKKI,6.5,43.7
1919,NA,NA,NA,NA,-,7.5,45.5
1920,104,Apr,13,0,NEWS-PAPER(ARASHIYAMA),7.2,44.96
1921,NA,NA,NA,NA,-,5.3,41.54
1922,101,Apr,11,0,KAJII-MOTOJIRO-SHOKAN,5.8,42.44
1923,97,Apr,7,0,NEWS-PAPER(ARASHIYAMA),8.1,46.58
1924,111,Apr,20,0,MITAMURA-ENGYO-NIKKI(ARASHIYAMA),4,39.2
1925,108,Apr,18,0,KEIHAN RAILWAY ADV(ARASHIYAMA),5.3,41.54
1926,108,Apr,18,0,KEIHAN RAILWAY ADV(ARASHIYAMA),5.4,41.72
1927,107,Apr,17,0,KEIHAN RAILWAY ADV(ARASHIYAMA),6.1,42.98
1928,107,Apr,16,0,KEIHAN RAILWAY ADV(ARASHIYAMA),6.4,43.52
1929,103,Apr,13,0,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA),5.9,42.62
1930,95,Apr,5,0,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA),8.3,46.94
1931,105,Apr,15,0,NEWS-PAPER(ARASHIYAMA),6.8,44.24
1932,105,Apr,14,0,KEIHAN RAILWAY ADV(ARASHIYAMA),5.8,42.44
1933,106,Apr,16,0,NEWS-PAPER(ARASHIYAMA),5.2,41.36
1934,104,Apr,14,0,NEWS-PAPER(ARASHIYAMA),5.5,41.9
1935,102,Apr,12,0,NHK(ARASHIYAMA),6.8,44.24
1936,111,Apr,20,0,NHK(ARASHIYAMA),4.5,40.1
1937,100,Apr,10,0,NEWS-PAPER(ARASHIYAMA),7.3,45.14
1938,98,Apr,8,0,KEIHAN RAILWAY ADV(ARASHIYAMA),9,48.2
1939,104,Apr,14,0,KEIHAN RAILWAY ADV(ARASHIYAMA),6.8,44.24
1940,110,Apr,19,0,KEIHAN RAILWAY ADV(ARASHIYAMA),6.3,43.34
1941,100,Apr,10,0,KEIHAN RAILWAY ADV(ARASHIYAMA),7.7,45.86
